	species	climate	environment	depth_min	depth_max
410	Eubalichthys mosaicus	temperate	reef-associated marine		140.0
411	Euchiloglanis kishinouyei	subtropical	freshwater demersal		
412	Eumegistus illustris		bathypelagic marine deep-water	1.0	520.0
413	Eurypegasus draconis	tropical	reef-associated marine brackish	3.0	91.0
414	Eutaeniophorus festivus		bathypelagic marine deep-water	0.0	200.0
415	Euthynnus alletteratus	tropical	reef-associated oceanodromous marine brackish	1.0	150.0
416	Evoxymetopon poeyi	tropical	benthopelagic marine		
417	Exocoetus volitans	subtropical	oceanodromous marine pelagic-neritic	0.0	20.0
418	Exostoma labiatum		freshwater demersal		
419	Facciolella oxyrhyncha	subtropical	marine demersal	30.0	731.0
420	Fistularia commersonii	tropical	reef-associated marine	0.0	132.0
421	Fundulus diaphanus	temperate	freshwater benthopelagic brackish non-migratory		
422	Fundulus grandis	tropical	freshwater benthopelagic brackish potamodromous		
423	Fundulus heteroclitus	temperate	benthopelagic freshwater marine brackish non-migratory		
424	Fundulus olivaceus	temperate	freshwater benthopelagic non-migratory		
425	Gadus chalcogrammus	polar	benthopelagic marine brackish non-migratory	0.0	1280.0
426	Gadus morhua	temperate	benthopelagic oceanodromous marine brackish	0.0	600.0
427	Gadus ogac	polar	oceanodromous marine brackish demersal	0.0	200.0
428	Gagata dolichonema	tropical	freshwater benthopelagic		
429	Galaxias gollumoides	temperate	freshwater benthopelagic		
430	Galaxias maculatus	temperate	benthopelagic freshwater marine brackish catadromous		
431	Galaxiella nigrostriata	temperate	freshwater demersal		
432	Gambusia affinis	subtropical	freshwater benthopelagic brackish potamodromous		
433	Garra orientalis	subtropical	freshwater benthopelagic		
434	Gasterochisma melampus	subtropical	pelagic-oceanic oceanodromous marine	200.0	
435	Gasterosteus aculeatus	temperate	benthopelagic freshwater marine brackish anadromous	0.0	100.0
436	Gasterosteus wheatlandi	temperate	benthopelagic marine brackish		
437	Gempylus serpens		pelagic-oceanic oceanodromous marine deep-water	0.0	600.0
438	Genyochromis mento	tropical	freshwater benthopelagic	2.0	25.0
439	Genyomyrus donnyi	tropical	freshwater demersal		
440	Gigantactis vanhoeffeni		bathypelagic marine deep-water	300.0	5300.0
441	Gila conspersa	tropical	freshwater benthopelagic		
442	Gila robusta	subtropical	freshwater benthopelagic		
443	Gilchristella aestuaria	subtropical	amphidromous freshwater marine brackish pelagic-neritic		
444	Gillichthys mirabilis	subtropical	marine brackish demersal		
445	Gillichthys seta	subtropical	marine demersal		
446	Girella punctata	temperate	reef-associated oceanodromous marine		
447	Glaridoglanis andersonii		freshwater demersal		
448	Glossanodon semifasciatus	temperate	benthopelagic marine	70.0	430.0
449	Glossogobius circumspectus	tropical	freshwater brackish demersal		
450	Glossogobius olivaceus	temperate	amphidromous freshwater marine brackish demersal		
451	Glyptosternon maculatum		freshwater demersal		
452	Glyptothorax fokiensis	subtropical	freshwater benthopelagic brackish		
453	Glyptothorax trilineatus		freshwater benthopelagic		
454	Gnathonemus petersii	tropical	freshwater demersal		
455	Gnathopogon elongatus	temperate	freshwater benthopelagic		
456	Gnathopogon strigatus	temperate	freshwater benthopelagic		
457	Gobio gobio	temperate	freshwater benthopelagic brackish potamodromous		
458	Gobiobotia brevibarba	temperate	freshwater benthopelagic		
459	Gobiobotia macrocephala	temperate	freshwater benthopelagic		
460	Gobiobotia naktongensis	temperate	freshwater benthopelagic		
461	Gobiocypris rarus	temperate	freshwater benthopelagic		
462	Gonorynchus abbreviatus	subtropical	marine demersal	50.0	100.0
463	Gonorynchus greyi	subtropical	marine brackish demersal		160.0
464	Grammatobothus krempfi	tropical	marine demersal		
465	Grasseichthys gabonensis	tropical	freshwater benthopelagic		
466	Gudusia chapra	subtropical	pelagic freshwater brackish potamodromous		
467	Gymnarchus niloticus	tropical	freshwater demersal potamodromous		
468	Gymnocypris dobula	subtropical	freshwater benthopelagic		
469	Gymnocypris eckloni	temperate	freshwater benthopelagic		
470	Gymnocypris namensis	temperate	freshwater benthopelagic		
471	Gymnocypris przewalskii	temperate	freshwater benthopelagic potamodromous		
472	Gymnogobius petschiliensis	temperate	amphidromous freshwater marine brackish demersal		
473	Gymnosarda unicolor	tropical	reef-associated oceanodromous marine	10.0	100.0
474	Gymnoscopelus nicholsi		bathypelagic marine deep-water oceanodromous	300.0	
475	Gymnothorax kidako	tropical	reef-associated marine	2.0	350.0
476	Gymnotus carapo	subtropical	freshwater benthopelagic potamodromous		
477	Gyrinocheilus aymonieri	tropical	freshwater demersal potamodromous		
478	Gyrinomimus myersi		bathypelagic marine deep-water	1280.0	2791.0
479	Gyrinomimus sp.	polar	benthopelagic marine	0.0	1400.0
480	Halichoeres melanurus	tropical	reef-associated marine	1.0	
481	Halichoeres tenuispinis	tropical	reef-associated marine		4.0
482	Halichoeres trimaculatus	tropical	reef-associated marine	2.0	30.0
483	Halieutaea stellata	tropical	marine demersal	50.0	400.0
484	Hapalogenys analis	tropical	benthopelagic marine		
485	Hapalogenys nigripinnis	temperate	benthopelagic marine brackish		
486	Haplophryne mollis		bathypelagic marine deep-water oceanodromous		2250.0
487	Hara jerdoni	tropical	freshwater demersal		
488	Harengula jaguana	tropical	reef-associated marine brackish		22.0
489	Harpadon microchir	tropical	marine demersal		
490	Harpadon nehereus	tropical	benthopelagic oceanodromous marine brackish	50.0	
491	Helicolenus avius		bathydemersal marine deep-water	450.0	600.0
492	Helicolenus hilgendorfi	temperate	marine demersal	150.0	500.0
493	Helogenes marmoratus	tropical	freshwater demersal		
494	Hemibagrus macropterus	temperate	freshwater demersal		
495	Hemibarbus barbus	temperate	freshwater benthopelagic potamodromous	5.0	20.0
496	Hemibarbus labeo	temperate	freshwater benthopelagic potamodromous	5.0	20.0
497	Hemibarbus longirostris	temperate	freshwater benthopelagic		
498	Hemibarbus maculatus	temperate	freshwater benthopelagic		
499	Hemibarbus mylodon	temperate	freshwater benthopelagic		
500	Hemibarbus umbrifer	subtropical	freshwater benthopelagic		
501	Hemigrammocypris rasborella	temperate	freshwater benthopelagic brackish		
502	Hemiodopsis gracilis	tropical	freshwater benthopelagic		
503	Heniochus diphreutes	subtropical	reef-associated marine non-migratory	15.0	210.0
504	Hepsetus odoe	tropical	freshwater demersal potamodromous		
505	Herwigia kreffti		bathypelagic marine deep-water	1000.0	3200.0
506	Heteroconger hassi	tropical	reef-associated marine non-migratory	7.0	45.0
507	Heteropneustes fossilis	tropical	freshwater brackish demersal		
508	Heterotis niloticus	tropical	pelagic freshwater	1.0	
509	Hexagrammos agrammus	temperate	oceanodromous marine demersal		
510	Himantolophus albinares		bathypelagic marine deep-water	845.0	
511	Himantolophus groenlandicus		bathypelagic marine deep-water	830.0	
512	Hiodon alosoides	temperate	pelagic freshwater potamodromous		
513	Hiodon tergisus	temperate	pelagic freshwater		
514	Hippocampus comes	tropical	reef-associated marine non-migratory		20.0
515	Hippocampus histrix	tropical	reef-associated marine non-migratory		82.0
516	Hippocampus kuda	tropical	reef-associated marine brackish non-migratory	0.0	68.0
517	Hippocampus trimaculatus	tropical	reef-associated marine non-migratory		100.0
518	Hippoglossus hippoglossus	temperate	oceanodromous marine demersal	50.0	2000.0
519	Hippoglossus stenolepis	temperate	oceanodromous marine demersal	0.0	1200.0
520	Histiopterus typus		reef-associated marine deep-water	40.0	421.0
521	Histrio histrio	subtropical	reef-associated oceanodromous marine	0.0	50.0
522	Homaloptera leonardi	tropical	freshwater demersal		
523	Homatula variegatus	subtropical	freshwater demersal		
524	Hoplias malabaricus	tropical	freshwater benthopelagic potamodromous		
525	Hoplostethus japonicus		bathypelagic marine deep-water	336.0	605.0
526	Hoplunnis punctata		marine demersal deep-water		
527	Horadandia atukorali	tropical	pelagic freshwater brackish		
528	Hucho bleekeri	subtropical	freshwater benthopelagic potamodromous		
529	Hucho taimen	temperate	freshwater benthopelagic potamodromous		
530	Huso huso	temperate	anadromous freshwater marine brackish demersal	70.0	180.0
531	Hydrolycus scomberoides	tropical	freshwater benthopelagic		
532	Hypentelium nigricans	temperate	freshwater demersal potamodromous		
533	Hyperlophus vittatus	temperate	amphidromous marine brackish pelagic-neritic	10.0	13.0
534	Hyperoglyphe japonica	temperate	benthopelagic oceanodromous marine	150.0	400.0
535	Hyperopisus bebe	tropical	freshwater brackish potamodromous demersal		
536	Hypoatherina tsurugae	temperate	marine pelagic-neritic		
537	Hypomesus nipponensis	temperate	pelagic anadromous freshwater brackish		
538	Hypophthalmichthys molitrix	subtropical	freshwater benthopelagic potamodromous	0.0	20.0
539	Hypophthalmichthys nobilis	temperate	freshwater benthopelagic potamodromous	5.0	
540	Hypoplectrus gemma	tropical	reef-associated marine		
541	Hypoptychus dybowskii	temperate	benthopelagic marine		
542	Hyporhamphus sajori	temperate	amphidromous freshwater marine brackish pelagic-neritic	30.0	
543	Hyporthodus octofasciatus		bathydemersal marine deep-water	150.0	300.0
544	Hypselecara temporalis	tropical	freshwater benthopelagic		
545	Icichthys lockingtoni	subtropical	pelagic-oceanic marine	0.0	900.0
546	Icosteus aenigmaticus		bathypelagic marine deep-water	0.0	1420.0
547	Ictalurus punctatus	subtropical	freshwater benthopelagic	15.0	
548	Ictiobus bubalus	temperate	freshwater demersal		
549	Ijimaia dofleini		bathydemersal marine deep-water		1281.0
550	Ilisha africana	tropical	marine brackish pelagic-neritic	0.0	25.0
551	Ilisha elongata	tropical	marine brackish pelagic-neritic	5.0	
552	Ilyophis brunneus		bathypelagic marine deep-water	450.0	3120.0
553	Indostomus paradoxus	tropical	freshwater benthopelagic		
554	Ischikauia steenackeri	temperate	freshwater demersal		
555	Isichthys henryi	tropical	freshwater demersal		
556	Iso hawaiiensis	tropical	reef-associated marine	0.0	2.0
557	Istiophorus albicans	subtropical	pelagic-oceanic oceanodromous marine	0.0	200.0
558	Istiophorus platypterus	subtropical	pelagic-oceanic oceanodromous marine	0.0	200.0
559	Ivindomyrus marchei	tropical	freshwater demersal		
560	Jenkinsia lamprotaenia	subtropical	reef-associated marine	0.0	50.0
561	Johnius belangerii	tropical	amphidromous marine brackish demersal		40.0
562	Johnius grypotus	tropical	benthopelagic marine		
563	Jordanella floridae	subtropical	freshwater benthopelagic brackish non-migratory		
564	Kali indica		bathypelagic marine deep-water	1000.0	3300.0
565	Kareius bicoloratus	temperate	oceanodromous freshwater marine brackish demersal		150.0
566	Katsuwonus pelamis	tropical	pelagic-oceanic oceanodromous marine	0.0	260.0
567	Kaupichthys hyoproroides	subtropical	reef-associated marine	1.0	95.0
568	Kentrocapros aculeatus	temperate	benthopelagic marine	100.0	200.0
569	Konosirus punctatus	subtropical	oceanodromous marine brackish pelagic-neritic		
570	Koreocobitis naktongensis	subtropical	freshwater demersal		
571	Koreocobitis rotundicaudata	temperate	freshwater demersal		
572	Krefftichthys anderssoni		bathypelagic marine deep-water oceanodromous		2700.0
573	Kuhlia mugil	tropical	reef-associated marine brackish	3.0	18.0
574	Kurtus gulliveri	tropical	freshwater benthopelagic brackish		
575	Kyphosus cinerascens	tropical	reef-associated marine	1.0	45.0
576	Labeo bata	tropical	freshwater benthopelagic potamodromous		
577	Labeo batesii	tropical	freshwater benthopelagic		
578	Labeo calbasu	tropical	freshwater brackish potamodromous demersal	10.0	10.0
579	Labeo rohita	tropical	freshwater benthopelagic brackish potamodromous	5.0	
580	Labeo senegalensis	tropical	freshwater benthopelagic potamodromous		
581	Labichthys carinatus		bathypelagic marine deep-water	0.0	2000.0
582	Labracinus cyclophthalmus	tropical	reef-associated marine	2.0	20.0
583	Labracoglossa argentiventris	temperate	reef-associated marine		
584	Lactoria diaphana	subtropical	reef-associated marine brackish	8.0	50.0
585	Lagocephalus laevigatus	subtropical	marine brackish pelagic-neritic	10.0	180.0
586	Lagocephalus lagocephalus	subtropical	benthopelagic oceanodromous marine	10.0	476.0
587	Lagocephalus lunaris	tropical	oceanodromous marine brackish demersal		
588	Lagocephalus sceleratus	tropical	reef-associated marine	18.0	100.0
589	Lagocephalus wheeleri	temperate	marine demersal		
590	Lampadena atlantica		bathypelagic marine deep-water oceanodromous	60.0	1000.0
591	Lampadena yaquinae		bathypelagic marine deep-water	100.0	900.0
592	Lampanyctus crocodilus		bathypelagic marine deep-water oceanodromous	0.0	1192.0
593	Lampanyctus macdonaldi		bathypelagic marine deep-water oceanodromous	60.0	1464.0
594	Lampris guttatus		bathypelagic marine deep-water oceanodromous	100.0	500.0
595	Lamprogrammus niger		bathypelagic marine deep-water	741.0	2000.0
596	Larimichthys crocea	temperate	benthopelagic oceanodromous marine brackish	10.0	
597	Larimichthys polyactis	subtropical	benthopelagic oceanodromous marine		120.0
598	Lateolabrax japonicus	subtropical	catadromous reef-associated freshwater marine brackish	5.0	
599	Lates calcarifer	tropical	catadromous freshwater marine brackish demersal	10.0	40.0
600	Lebiasina astrigata	tropical	freshwater demersal		
601	Lefua echigonia	temperate	freshwater demersal		
602	Leiocassis crassilabris	subtropical	freshwater demersal		
603	Leiocassis longirostris	temperate	freshwater demersal		
604	Lepidocybium flavobrunneum		benthopelagic oceanodromous marine deep-water	200.0	1100.0
605	Lepisosteus oculatus	temperate	freshwater brackish demersal		
606	Lepisosteus osseus	temperate	freshwater brackish demersal	0.0	
607	Lepomis cyanellus	subtropical	freshwater benthopelagic		
608	Lepomis macrochirus	subtropical	freshwater benthopelagic		
609	Leporinus affinis	tropical	freshwater benthopelagic		
610	Leptobarbus hoevenii	tropical	pelagic freshwater potamodromous	3.0	
611	Leptobotia elongata	subtropical	freshwater demersal		
612	Leptobotia mantschurica	temperate	freshwater demersal non-migratory		
613	Leptochilichthys agassizii		bathypelagic marine deep-water	2000.0	3100.0
614	Leptoderma lubricum		bathypelagic marine deep-water	0.0	1700.0
615	Leptoderma macrophthalmum		bathydemersal marine deep-water	2063.0	2107.0
616	Leptoderma retropinna		bathypelagic marine deep-water	600.0	1100.0
617	Lethrinus obsoletus	tropical	reef-associated marine non-migratory		30.0
618	Leucaspius delineatus	temperate	pelagic freshwater brackish potamodromous	0.0	1.0
619	Leuciscus waleckii	temperate	freshwater benthopelagic potamodromous		
620	Linophryne bicornis		bathypelagic marine deep-water		
621	Liobagrus anguillicauda	temperate	freshwater benthopelagic		
622	Liobagrus kingi	temperate	freshwater benthopelagic		
623	Liobagrus marginatoides	temperate	freshwater benthopelagic		
624	Liobagrus nigricauda	subtropical	freshwater benthopelagic		
625	Liobagrus obesus	temperate	freshwater benthopelagic		
626	Liobagrus reinii	temperate	freshwater benthopelagic		
627	Lipolagus ochotensis		bathypelagic marine deep-water	0.0	6100.0
628	Liza affinis	subtropical	marine brackish pelagic-neritic		
629	Lobianchia gemellarii		bathypelagic marine deep-water oceanodromous	25.0	800.0
630	Lophiodes caulinaris		marine demersal deep-water	15.0	311.0
631	Lophiogobius ocellicauda	temperate	freshwater demersal		
632	Lophiomus setigerus	tropical	marine demersal	30.0	800.0
633	Lophius americanus	temperate	oceanodromous marine demersal	0.0	668.0
634	Lota lota	temperate	freshwater brackish potamodromous demersal	1.0	700.0
635	Luciobarbus capito	temperate	freshwater benthopelagic brackish		
636	Luciogobius platycephalus	temperate	marine demersal		
637	Luciosoma bleekeri	tropical	pelagic freshwater		
638	Luciosoma setigerum	tropical	pelagic freshwater		
639	Lutjanus argentimaculatus	subtropical	reef-associated freshwater marine brackish oceanodromous	10.0	120.0
640	Lutjanus bengalensis	tropical	reef-associated marine	10.0	30.0
641	Lutjanus erythropterus	tropical	reef-associated marine	5.0	100.0
642	Lutjanus kasmira	tropical	reef-associated marine	3.0	265.0
643	Lutjanus malabaricus	tropical	reef-associated marine	12.0	100.0
644	Lutjanus rivulatus	tropical	reef-associated marine	50.0	100.0
645	Lutjanus russellii	tropical	reef-associated marine brackish	10.0	80.0
646	Lutjanus sebae	tropical	reef-associated marine brackish	5.0	180.0
647	Luvarus imperialis	subtropical	pelagic-oceanic oceanodromous marine	0.0	200.0
648	Lycengraulis grossidens	subtropical	anadromous freshwater marine brackish pelagic-neritic		40.0
649	Lycodes toyamensis	temperate	marine demersal		
650	Lycothrissa crocodilus	tropical	pelagic freshwater brackish potamodromous		
651	Macrochirichthys macrochirus	tropical	freshwater benthopelagic		
652	Macroramphosus scolopax	subtropical	marine demersal	25.0	600.0
653	Macrorhamphosodes uradoi	tropical	marine demersal	50.0	675.0
654	Makaira indica	subtropical	pelagic-oceanic oceanodromous marine	0.0	915.0
655	Makaira mazara	subtropical	pelagic-oceanic oceanodromous marine	0.0	200.0
656	Malapterurus electricus	tropical	freshwater benthopelagic potamodromous		
657	Mallotus villosus	polar	pelagic-oceanic freshwater marine brackish anadromous	0.0	725.0
658	Malthopsis jordani		bathydemersal marine deep-water	185.0	520.0
659	Marcusenius senegalensis	tropical	freshwater demersal potamodromous		
660	Marilyna darwinii	tropical	marine brackish demersal		
661	Mastacembelus favus	tropical	freshwater demersal		
662	Masturus lanceolatus		bathypelagic marine brackish deep-water		670.0
663	Maulisia mauli		bathypelagic marine deep-water	400.0	1200.0
664	Megalobrama amblycephala	temperate	freshwater benthopelagic	5.0	20.0
665	Megalobrama terminalis	temperate	freshwater benthopelagic		
666	Megalops atlanticus	subtropical	amphidromous reef-associated freshwater marine brackish	0.0	30.0
667	Megalops cyprinoides	tropical	amphidromous benthopelagic freshwater marine brackish	50.0	
668	Melanocetus johnsoni		bathypelagic marine deep-water	100.0	4500.0
669	Melanocetus murrayi		bathypelagic marine deep-water	100.0	6370.0
670	Melanogrammus aeglefinus	temperate	oceanodromous marine demersal	10.0	450.0
671	Melanotaenia lacustris	tropical	freshwater benthopelagic		
672	Melichthys vidua	tropical	reef-associated marine	4.0	60.0
673	Mene maculata	tropical	reef-associated marine brackish	50.0	200.0
674	Menidia menidia	temperate	oceanodromous marine brackish pelagic-neritic	0.0	3.0
675	Merlangius merlangus	temperate	benthopelagic oceanodromous marine	10.0	200.0
676	Merluccius merluccius	temperate	marine demersal	30.0	1075.0
677	Mesocottus haitej	temperate	freshwater benthopelagic		
678	Metzia formosae	subtropical	freshwater benthopelagic		
679	Meuschenia hippocrepis	temperate	marine demersal		120.0
680	Microcanthus strigatus	tropical	reef-associated oceanodromous marine brackish	1.0	140.0
681	Microdevario nana	tropical	freshwater benthopelagic brackish		
682	Micromesistius poutassou	temperate	bathypelagic marine oceanodromous	150.0	3000.0
683	Micropercops swinhonis	subtropical	freshwater demersal		
