species	metabolism_data	speed_data	gill_area_data
Histiopterus typus	False	False	False
Thunnus albacares	False	True	True
Thamnaconus modestus	False	False	False
Synbranchus marmoratus	True	False	False
Trachinops taeniatus	False	False	False
Siniperca obscura	False	False	False
Pennahia argentata	False	False	False
Notopterus notopterus	False	False	False
Clupeoides borneensis	False	False	False
Neocyttus rhomboidalis	False	False	False
Leptobotia elongata	False	False	False
Petrotilapia nigra	False	False	False
Scomber australasicus	False	False	False
Ammodytes hexapterus	False	False	False
Aptocyclus ventricosus	False	False	False
Anguilla megastoma	False	False	False
Stemonidium hypomelas	False	False	False
Salmo salar	True	False	False
Sphoeroides testudineus	False	False	False
Heniochus diphreutes	False	False	False
Barbourisia rufa	False	False	False
Parapristipoma trilineatum	False	False	False
Menidia menidia	False	False	False
Acipenser baerii	False	False	False
Xanthichthys auromarginatus	False	False	False
Antennarius coccineus	False	False	False
Bagarius yarrelli	False	False	False
Bajacalifornia megalops	False	False	False
Neoceratias spinifer	False	False	False
Cyprinella lutrensis	True	False	False
Parachanna insignis	False	False	False
