species	temperature_min	temperature_max	climate	environment
Epinephelus coioides			subtropical	reef-associated marine brackish
Dendrophysa russelii			tropical	amphidromous freshwater marine brackish demersal
Trigonostigma heteromorpha	22.0	25.0	tropical	freshwater benthopelagic
Colisa lalia	25.0	28.0	tropical	freshwater benthopelagic
Ilisha africana			tropical	marine brackish pelagic-neritic
Chelonodon pleurospilus			subtropical	marine demersal
Ranzania laevis			subtropical	pelagic-oceanic marine
Abalistes stellaris			tropical	amphidromous marine demersal
Plecoglossus altivelis			subtropical	amphidromous freshwater marine brackish demersal
Alepocephalus australis				bathydemersal marine deep-water
Takifugu xanthopterus			temperate	marine demersal
Variola albimarginata			tropical	reef-associated marine
Bolinichthys pyrsobolus				pelagic-oceanic marine deep-water
Icichthys lockingtoni			subtropical	pelagic-oceanic marine
Pseudopungtungia tenuicorpus			temperate	freshwater benthopelagic
Danio dangila			tropical	freshwater benthopelagic
Petrocephalus soudanensis			tropical	freshwater demersal
Nimbochromis linni	23.0	25.0	tropical	freshwater demersal
Ammodytes personatus			temperate	oceanodromous marine demersal
Arothron firmamentum			subtropical	marine demersal
Tridentiger barbatus			temperate	brackish demersal
Ilyophis brunneus	3.0	5.0		bathypelagic marine deep-water
Plectropomus leopardus	24.0		tropical	reef-associated oceanodromous marine
Carassius auratus		41.0	subtropical	freshwater benthopelagic potamodromous
Nannoperca obscura	10.0	30.0	temperate	freshwater benthopelagic brackish
Elassoma zonatum	10.0	25.0	temperate	freshwater demersal
Leptoderma macrophthalmum				bathydemersal marine deep-water
Gempylus serpens				pelagic-oceanic oceanodromous marine deep-water
Hapalogenys nigripinnis			temperate	benthopelagic marine brackish
Chaunax pictus				bathydemersal marine deep-water
Onychostoma lini			subtropical	freshwater benthopelagic
Evoxymetopon poeyi			tropical	benthopelagic marine
Acentrophryne dolichonema				bathypelagic marine deep-water
Girella punctata			temperate	reef-associated oceanodromous marine
Opistognathus jacksoniensis	22.0	28.0	subtropical	reef-associated marine
Corydoras rabauti	23.0	25.0	tropical	freshwater demersal
Alburnus tarichi			temperate	freshwater benthopelagic
Salanx ariakensis			subtropical	anadromous freshwater marine brackish demersal
Lutjanus kasmira	20.0	28.0	tropical	reef-associated marine
Polypterus endlicherii			tropical	freshwater demersal potamodromous
Promethichthys prometheus			subtropical	benthopelagic oceanodromous marine
Caranx melampygus			tropical	reef-associated marine brackish
Leuciscus waleckii	10.0	20.0	temperate	freshwater benthopelagic potamodromous
Gyrinocheilus aymonieri	25.0	28.0	tropical	freshwater demersal potamodromous
Coilia ectenes			subtropical	anadromous freshwater marine brackish pelagic-neritic
